institution,comment,degree
Lake Shore High School,"I took ever extra curricular art class that was offered. Some classes included photography, graphic design, drawing and painting, etc. I gained many skills from all classes and completed every class with at least an over all grade of 94.",High school degree
Enterprise High School,,High school degree
Brentwood High School,,
Anamosa High School,,High school degree
Mallard creek high school,,High school degree
Oviedo High School,"I fell ill two years ago with fibromyalgia and an auto immune disorder, which took a lot from me, including most of my mobility and my hopes of a normal life. Due to this, I've had to prolong my time in high school, though I am looking forward to graduating in May 2018.",High school degree
Oviedo High School,,
Penn Foster High School,I graduated High school at the age of 18. I began working with American Engineering Corporation shortly after graduating from High School. I still have plans to start college in the future.,High school degree
Lowndes High School,,
Orange Park High School,,
Quinton Public High School,"I graduated one year early, due to my hard work.",High school degree
Latta High School,,High school degree
Sonoma Valley High School,,High school degree
Hickory Ridge High School,,High school degree
Patterson High School,,High school degree
Pine Forest High School,English Honors,High school degree
Cuba high school,,High school degree
Seton Catholic High School,,High school degree
Catalina Foothills High School,,High school degree
Western High School,,High school degree
James.H.Bowen high school,,
Minnechaug Regional High School,,Master of Library & Information Science (M.L.I.S.)
CLEAR BROOK HIGH SCHOOL,,
Capital High School,,
Brentwood High School,,
"East High School, Memphis TN",I earned a high school diploma.,High school degree
Biondi High School,,High school degree
Rockledge High School,,
Massac County High School,,High school degree
Cherokee High School,,High school degree
Lake Orion High School,,
Venus High School,I got all my windows and editing certifications while in high school,High school degree
Birmingham Community Charter High School,,High school degree
Knight High School,Valedictorian,
Onalaska Jr/Sr High School,Graduated with honors on the distinguished plan.,High school degree
San Pasqual High School,,High school degree
Libertyville High School,,
Pine River High School,,
Northmont High School,,High school degree
Kimball Jr/Sr High School,,High school degree
Burbank High School,,High school degree
Centennial High School,,
Oceanside High School,,High school degree
guilford high school,,High school degree
Myers Park High School,,
West Morris Central High School,,High school degree
Mira Loma High School,,
Calvary Christian North Edwards High School,,High school degree
Marysville-Pilchuck High School,,High school degree
Hatboro-Horsham Senior High School,,
Mt. Zion High School,,High school degree
Western high school ,,
Travis High School,,High school degree
Central Catholic High School,,
Messmer High School,,
Swansboro High School,Career Cluster of Broadcast and Journalism Communications.,High school degree
Patriot High School,,
High School,"My coursework included: Astronomy, Basic Japanese, Photography, Piano Lessons, Windows 7, MS PowerPoint, and Windows XP.",High school degree
St Catherine High School,"C.X.C General Proficiency English A
C.X.C General Proficiency Religious Education
C.X.C General Proficiency Integrated Science
C.X.C General Proficiency Principles of Business 
C.X.C General Proficiency Office Procedures
C.X.C General Proficiency Clothing & Textiles",
Christopher Dock Mennonite High School,,High school degree
Solomon High School,,High school degree
Mansion High School,,High school degree
Central High School,,High school degree
Coconino High School,,
Frederick Douglass High School,Art Instructions Schools Art Course,
Benicia High School,,High school degree
Whitewater High School,,
Northern Burlington regional high school,,High school degree
Bingham High School,"Graduated with a 3.5 GPA, and took mostly creative arts and additional accounting type classes as electives. Reading and writing were my best skills while in school; I took calligraphy classes for 2 semesters, and enjoyed every minute of it. I have exceptional handwriting, and am able to personalize information for individual needs.",High school degree
Gainesville High School,,High school degree
Brentsville District High School,,
Perkiomen Valley High School,,High school degree
Leander High School,When I was a student at Leander High School they offered what they called Career Passports. I completed the Business Computer Services Passport which included classes in technical writing and I complete the test to be certified in Microsoft Office.,High school degree
Spring Woods High School,,
Kingsbridge International High School,,High school degree
Middleton High School,High School Student,
Abraham Lincoln High School,3.0- GPA,High school degree
Yough Senior High School,,High school degree
Burbank High School,,
North Johnston high school,,
Hamshire-Fannett High School,,
Dulaney High School,,
Wakeland High School,,High school degree
Franklin Parish High School,,High school degree
Brainerd High School,,High school degree
Century High School,,
Dawson County High School,,
Maplewood Richmond Heights High School,,High school degree
Flat Rock Community High School,,High school degree
Wesalco High School,,High school degree
River Forest High School,,
Belton High School,,High school degree
Barrington High School,,High school degree
Courtland High School,Graduated with a Advanced Studies Diploma,
Morse High School,I focused on beginning a career in Education because of my desire to help students build an interest in English.  I began working for San Diego School District and actively participated in clubs.,
Hartselle High School,,High school degree
redlands high school,,High school degree
High School Diploma,,
Plano High School,,
Barbe High School,,
Cedar Ridge High School,,High school degree
Mansfield High School,,High school degree
Brady High School,,
Menominee High School,High school graduate,
Caroline High School,,High school degree
Lassiter High School,,
Central High School,,
Escalon High School,,High school degree
hoggard high school,,
mcdonough High School,,High school degree
Wynne High School,,Foundation degree
Mount zion high school,,
Florence High School,,High school degree
Galt Joint Union High School,High school diploma,High school degree
Lafayette High School,,
Goose Creek High School,,
Central High School,,High school degree
Central High School,,High school degree
High School,,
Phoenix High School,,
Grayson High School,,
F.J. Reitz High School,,
Round Rock High School,,High school degree
Berkmark High School,Diploma with Emphasis in Business Office Education in Accounting,High school degree
Bonanza High School,,
La Quinta High School,"AP Exams passed:
AP Physics 1
AP Physics C
Calculus AB
Calculus BC
AP Spanish Language",High school degree
Clearfield Area High School,,
Levelland High School,,High school degree
High School,,
Austin High School/G.E.D,,
Moreno Valley High School,,
Thornwood High School,,High school degree
Heritage High School,,
Alma D'Arte Charter High School,,
Kelso High School,,High school degree
Westfield Senior High School,,High school degree
Valley Christian High School,,
clay high school,,High school degree
Stephen Decatur High School,,High school degree
Sonoma Valley High School,I have complete my High School study with Very good result.,High school degree
Jackson High School,,High school degree
Doral Academy Charter High School,,High school degree
Muncie Central High School,,High school degree
Nyack High School,,
Milton High School,,Master of Business Administration (M.B.A.)
George Washington High School,,
Glen Rose High School,,High school degree
Sheridan High School,,
Freedom High School,,High school degree
Henry County High School,In high school my studies gravitated toward business and general agriculture.,High school degree
Suitland High School,,
Gilbert High School,,High school degree
Oakland Technical High School,,High school degree
Homeschool-High School,,
Hiram High School,,
Gospel of Grace Christian High School,This was a small school that helped me prepare for going on to college. ,High school degree
Salesian High School,,High school degree
Silo High School,,High school degree
Smoky Hill High School,,
W.C.Overfelt High school,,High school degree
Nashville High School,,High school degree
Raytown High School,"My high school. I had focused in on graphic design my first year and was already determined to go to Herndon Career Center for graphic design.

school and out of school activities 
> Art Club 
> A Plus Program 
> National Honor Society
>Demolay
>Boy Scouts (Eagle Scout)
>Skills USA",High school degree
Thurston High School,,High school degree
Keith High School,,
Hugh M Cummings High School,,High school degree
North Western High School,General Studies for formal education.,High school degree
High school,,
Family Of Faith High School,,
Willow Park High School,,High school degree
Apple Valley High School,,High school degree
John Handley High School,,
River Ridge High School,Graduated top of my class.,
South Lake High School,,High school degree
Montgomery high school,,High school degree
Fishers High School,Wrapping up High School,
Murrieta Valley High School,,
Coatesville Senior High School,,
High School,Working staff and writer for both the school newspaper and yearbook.,High school degree
Yucca Valley High School,,High school degree
De Leon High School,,High school degree
Yorkville High School,,High school degree
Dougherty Valley High School,,
Lassen High School,,
Marked Tree High School,,
Norwalk High School,,
Summit High School,I am currently enrolled in a Digital Art class and in a Graphic Communications club,
Benton Consolidated High School,,
Ardrey Kell High School,High School (Not yet graduated),
High School Graduate with some college at Ashford University,Looking to continue studies at another school.,
Peoria Accelerated High School,,High school degree
High School,,
"St. Mary's high school, Lawrence MA",,High school degree
Victor Valley High School,,High school degree
Freedom High School,,
Doherty High School,"Vocational Graphic Arts: 3 Years
Creative Writing: 3 Years",Graduated
Thomas Jefferson High School for Science & Technology,,
Hanford High School,"4.16 GPA
Ranked 16/440
Special Courses:
AP Literature & Composition--Score of 4/5
AP Language & Composition--Score of 4/5
AP U.S. History--Score of 3/5
AP Macroeconomics--Score of 3/5",High school degree
Harbor High School,,High School Diploma
Westinghouse Vocational High School,"Immediately after graduating out of High School, I was hired as a Secretary to assist Mangers and Executives with various secretarial duties with a Broker Company located downtown Chicago, IL, in the 1st National Bank, Building, located on the 28th floor.",High school degree
George Westinghouse Vocational High School,,High school degree
George Westinghouse High School,"I took Secretarial, Shorthand and Typing Classes",High school degree
Medford Area Senior High School,,High school degree
Ingleside High School,"National Honor Society, Student Council President",High school degree
Colquitt County High school,I am ready to work for success!,High school degree
Highland Park High School,,High school degree
Strongsville High School,,High school degree
High School,,
Berwick Area High School,"Graduated top 50 of class; assistant to the head of the department of the Arts for Junior/Senior year, culminating in a Senior year show.",
Palm Beach Central High School,,
New Britain High School,,
MacArthur High School,,Diploma
Victory High School,"Clarksburg, WV",Graduated 12 grade
Arcadia High School,,
high school,,
West Windsor Plainsboro High School North,"12th grade finished .Graduated High school on June, 2017",High school degree
Sequoia High School,first three years of high school completed!,High school degree
Norman High School,,High school degree
Lakewood High School,,High school degree
Plainfield High School,,
High School,,
Mchenry East High School,,
Moon Valley High School,,High school degree
Richmond Hill High School,,High school degree
Giddings High School,Graduated in the top 25% of my class.,
Howland High School,,
Colts Neck High School,,High school degree
high school,,High school degree
Morris Hills High School,Part of the MAGNET Program,
"Kingsville High School, Kingsville, OH",Concentrated on math and science curriculums,High school degree
Haney Technical High School,,Associate of Arts (A.A.)
Desert Rose High School,,High school degree
freedom high school,,High school degree
Fossil ridge high school,,
west jordan high school,,High school degree
Castle High School,,High school degree
John Ehret High School,,High school degree
Dodge City High School,,Associate's degree
Reagan Sr. High School,,High school degree
Plaquemine Senior High School,,High school degree
Crown Point High School,,
St. Marys High School,,High school degree
Danville Area High School,,High school degree
High School,,High school degree
Archbold High School,,High school degree
Oak Lawn High School,,
Alan B. Shepard High School,,High school degree
Brooklyn High School of the Arts,"Arts charter high school in Brooklyn, NY that focused on preparing students for a college experience.",High school degree
mckinley high school,,High school degree
Westmoor High School,,High school degree
Blissfield High School,,High school degree
John Bapst Preparatory High School,,High school degree
Galena High School,"High Honors student, completed Jo Daviees County Graphic Arts Vocational Program",High school degree
winder barrow high school,,
North Medford High School,"I took the regular classes given, but also exceeded with computer skills, and cooking classes. I also turned in my work on time, and always tried to excel in what I was doing. And if I knew I would not be able to finish the deadline I would talk to the teachers to see if I could turn it in the following day or after. But always showed communications with all my teachers. My attendance was always a plus, unless I was super sick. But always managed to make it to school",High school degree
Mckay High School,,High school degree
Mckay High School,"I attended here only for Freshman year before being transferred, but I did take honors classes to be ahead, and kept up on all school work",High school degree
San Andreas High School,"An alternative school which allowed more focus on creative endeavors such as writing, painting, and photography.",
Archbishop Molloy High School,,
Springboro High School,"I graduated High School a full year early and was going into pre-law.  However, I was offered a job learning how to program computers and got paid for it.  I took it.  I have taken a lot of continuing education and have many years of experience but I do not have a college degree.",
Mark Twain High School,,High school degree
Westside High School,,High school degree
East Lansing High School,,
Sachem North High School,,High school degree
Pelham City High School,,High school degree
Auburn High School,,
Kenmore high school,,Master of Technology (M.Tech.)
Centennial High School,,
Warren County High School,,
Manchester High School,,High school degree
Oswego High School,"I did receive a college credit from my AP computer science course in my school. I was at the top of my class and had to teach my teacher about generic types in Java :P

I also took STEM classes throughout all of High School.",
Centreville high school,,High school degree
Carmel High School,,
Weslaco east high school,,
Montgomery High School,,High school degree
Montgomery High School,,
Colquitt County High School,,High school degree
Downey High School,,High school degree
Middle College High School,,High school degree
California Area High School,,
Jackson County Comprehensive High School,,
Unionville-Sebewaing Area High School,,Master of Computer Applications (M.C.A.)
Central High School,,
Elsik High School,,
Boca Raton High School,,High school degree
Kashmere High School,,High school degree
Longview High School,,
Marysville Pilchuck High School,,
Chantilly High School,,High school degree
Union springs High School,,High school degree
Fairfax High School,,High school degree
Olney high school,,Licentiate degree
Seoul Arts High School,,High school degree
Lee's Summit High School,,High school degree
WF West High School,,
Loudoun Valley High School,,High school degree
Columbus North High School,,
Antioch High School,,
Windsor High School,,
San Benito High School,,High school degree
High School of Art & Design,Majored in Cartooning/Illustration while dabbling in traditional animation.,
Wonderview High School,,High school degree
Harlan Community High School,,
Mariner High School,,
Burleson High School,,
March Mountain High School,,High school degree
Bamberg-Ehrhardt High School,,High school degree
Epic Charter High School,,High school degree
Montebello High school,"High school diploma
General education",High school degree
Meadowbrook High School,,
Niwot High School,,
Lynwood High School,,High school degree
Prairie Heights High School,,
David W. Carter High School,,High school degree
High School Diploma,22 years of experience in the disc drive industry,
Central High School,,High school degree
Vacaville High School,,Diploma
Dothan High School,,
Southeast Halifax High School,,High school degree
WE Boswell High School,,
everglades high school,,
southport high school,,High school degree
Mission San Jose High School,,High school degree
Ace Academy High school,"The reason why i only attended that school for one year is because my parents kept switching me to different schools. Ace academy High school is the school I graduated from, in Hemet, California.",High school degree
spring high school,,Associate of Arts (A.A.)
Woodbridge Senior High School,,
Arlington High School,"Academics:
-2x Honor Roll 3.8 GPA

Athletics:
(Arlington High School Wrestling Team)
-2011 MVP Award
-2013 MVP Award
-2013 Team Captain Award",High school degree
Northfield High School,,
Overhills High School,,High school degree
Thomas Stone High School,,High school degree
Federal Way High School,High School Graduate,
William Henry Harrison High School,,High school degree
Central High School,,High school degree
Bronx High School of Science,,High school degree
Westside High School,,High school degree
Okmulgee High School,General high school studies,
Chesaning Union High School,,High school degree
Salem High School,,High school degree
Weatherford High School,,
High school,,High school degree
Lone Peak High School,,
Breaux Bridge High School,,High school degree
Milton High School,,
Pine Bluff High School,,High school degree
Pine Bluff High School,,High school degree
Greenbrier High School,,High school degree
Zephyrhills High School,,High school degree
Northside High School,,High school degree
Hargrave High School,,
Antioch Community High School,,
Parsippany Hills High School,,
RANDLEMAN HIGH SCHOOL,,High school degree
Lewiston-Altura High School,,High school degree
Brooklyn Technical High School,"Graduated one of the three original specialized science high schools in NYC. Took courses in science (i.e. AP Biology, Anatomy) and was one of the founding
member of the Paleo Club",
Albert Lea High School,,Associate's degree
Cibola High School,,High school degree
Cibola High School,,High school degree
"North Side High School, Jackson, TN",,High school degree
Hebron High School,,High school degree
desert hot springs high school,,
shiloh high school,,
Eunice High School,,High school degree
FZW High School,,
Folsom High School,,
Greenbrier High School,"College prep classes. Calculus, because I loved math. We also did a senior project, where i created a children's book.",Other
Hico High School,,High school degree
Lincoln High School,,High school degree
Alvarado High School,,High school degree
cary high school,,High school degree
Westminster High School,,High school degree
Redmond High School,,High school degree
High school,,High school degree
Broomfield High School,,High school degree
Springfield Central High School,,High school degree
Breckenridge High School,,High school degree
Elkins High School,,High school degree
North Rockland High School,,
East Bay High School,"I studied Journalism at UCF from 2013-2016, but left before completing my degree because I wasn't happy with the program. I wanted to pursue graphic design, which I am currently enrolled at Fullsail for.",High school degree
Farmington high school,,
North High School,,High school degree
Amelia High School,,High school degree
Black River Falls High School,,
Loveland High School,,
Ridgefield Memorial High School,,High school degree
Hartselle High School,,High school degree
High School,,
Clements High School,,High school degree
Willow Glen High School,,
St. Augustine High School,,High school degree
Luther Burbank High School,,
Jefferson High School,,High school degree
Springfield High School,,
Pulaski County High School,,
mentor high school,,High school degree
Batesville High School,,
Forest Hills High School,,High school degree
Centennial High School,,High school degree
wauconda High School,,
Bangor High School,,
Morgan County High School,,High school degree
American High School,,High school degree
Tates Creek High School,,
Westlake High School,,High school degree
Mount Pleasant High School,,High school degree
Windham High School,Graduated with a 3.8 GPA and remained in High Honors throughout my high school years.,
Hermiston High School,,
Monrovia high school,,High school degree
Northwest High School,,High school degree
Wolmers Girls High School,,High school degree
Hampton High School,,
Beechcroft High School,,High school degree
Everest Public High School,High School Senior who will be attending college next year to study in 2D and Character Animation.,
Center Wellington District High School,,High school degree
Catasauqua High School,,
"Harlem High School, Harlem. GA",,High school degree
Los Angeles County High School for the Arts,,High school degree
Northrop High School,,
Whittier Regional Vocational Technical High School,Received a high school degree as well as a trade certificate in Graphic Communications.,High school degree
Wyalusing Valley High School,General high school diploma,
Palisades High School,,High school degree
Brookings High School,,High school degree
"University of Southern California - Math, Science, and Technology High School",,High school degree
Columbia High School,,
Bishop Hogan High School,,High school degree
Naperville North High School,,
James Madison High School,,High school degree
Boonville High School,,
South Shore Vocational Technical High School,"I studied graphic design concepts and  production that makes design marketable.  
some things I've created but not limited to are 
Banners
Flyers
Manuals 
Books 
Carbonless forms
Legal forms
Photography works
Business cards
posters 
Logos 
Brands
Monograms 
Info Graphics 
And many more!",High school degree
East Side High School,,
Cary Grove High School,I took a gap year visiting a nice school in Western Ma. Then I returned and finished my high school career.,High school degree
Warren Township High School,,High school degree
Adlai E Stevenson High School,,High school degree
Atlantic High School,,High school degree
Reeds spring high school and Vocational School,,
Shaker Heights High School,,High school degree
John A. Ferguson SR High School,,
Khilgoan High School,,High school degree
Gainesville High School,,High school degree
Oregon City High School,,
Streamwood High School,,High school degree
Clifton High School,,High school degree
Stuyvesant High School,Top 10 USA High School - More selective than Harvard University,
No Name High School,,
Woonsocket High School,,High school degree
The Catholic High School of Baltimore,,
Live Oak High School,Graduated High School with a 3.8 GPA and completed some college,High school degree
Corvallis High School,,High school degree
